Pid,Lon,Lat,DisYear1,DisDOY1,DisYear2,DisDOY2
349,-106.8734476,40.94575192,0,0,0,0
350,-107.340257,41.50268946,0,0,0,0
351,-106.6091742,40.65317951,0,0,0,0
352,-106.6435241,41.09188161,0,0,0,0
353,-106.927215,41.47591924,0,0,0,0
354,-106.2398619,41.43793276,0,0,0,0
355,-106.5532089,40.55655974,0,0,0,0
356,-106.5568863,40.68645604,0,0,0,0
357,-106.9882571,40.92684592,0,0,0,0
358,-107.2948896,41.49973796,0,0,0,0
359,-106.9995976,41.21453425,0,0,0,0
360,-107.0719841,41.07431879,0,0,0,0
361,-106.9381517,41.43541861,0,0,0,0
362,-106.2724146,40.9804653,0,0,0,0
363,-107.1730682,41.20809277,0,0,0,0
364,-107.1722739,41.08553692,0,0,0,0
365,-106.7131878,40.96801312,0,0,0,0
366,-106.6024396,41.46436192,0,0,0,0
367,-107.1805146,41.47206686,0,0,0,0
368,-106.5551085,41.24260951,0,0,0,0
369,-106.2792557,41.02885167,2015,217,0,0
370,-106.3585333,40.98844159,0,0,0,0
371,-107.0400087,41.29346306,0,0,0,0
372,-106.955085,40.63476272,0,0,0,0
373,-107.1275052,40.71727767,0,0,0,0
374,-106.7961167,41.09786598,0,0,0,0
375,-106.9376539,40.56684582,0,0,0,0
376,-107.0100005,40.96280211,0,0,0,0
377,-106.170216,41.31260881,0,0,0,0
378,-106.8481625,40.73698649,0,0,0,0
379,-106.8843703,41.08983796,0,0,0,0
380,-106.6118472,41.29198026,0,0,0,0
381,-107.2713466,40.58695426,0,0,0,0
382,-107.1204878,41.389286,0,0,0,0
383,-106.4357036,41.03601689,0,0,0,0
384,-106.6175064,40.58174576,0,0,0,0
385,-107.1110144,40.89209072,0,0,0,0
386,-106.2780871,40.93743295,0,0,0,0
387,-106.8262922,41.07269831,0,0,0,0
388,-106.6663696,40.96876157,0,0,0,0
389,-106.6798501,40.64047974,0,0,0,0
390,-107.1392498,41.15920792,0,0,0,0
391,-107.2787821,41.30156165,0,0,0,0
392,-106.7750715,41.11886883,0,0,0,0
393,-107.3438494,41.2561608,0,0,0,0
394,-106.8123484,41.09759209,2019,282,0,0
395,-106.6481405,40.92010243,2016,285,0,0
396,-106.5453711,41.0128815,0,0,0,0
397,-107.3351663,41.14633061,0,0,0,0
398,-106.4457806,40.68089451,0,0,0,0
399,-107.162233,41.23340373,0,0,0,0
400,-106.6075307,41.14443948,0,0,0,0
401,-106.585647,41.02897538,0,0,0,0
402,-106.3817121,41.48003143,0,0,0,0
403,-107.3118175,41.29834297,0,0,0,0
404,-106.2729188,41.42555549,0,0,0,0
405,-106.8880117,41.43648597,0,0,0,0
406,-106.8460926,40.65863555,0,0,0,0
407,-106.9668542,41.4994797,0,0,0,0
408,-106.6461979,40.71206409,0,0,0,0
409,-106.9918646,41.03295455,0,0,0,0
410,-106.9113101,41.42141032,0,0,0,0
411,-106.9227189,41.0506747,0,0,0,0
412,-106.5549836,40.94901112,0,0,0,0
413,-106.522164,41.45033305,0,0,0,0
414,-106.0795387,40.5818306,0,0,0,0
415,-106.1465999,40.90109346,0,0,0,0
416,-106.9218704,41.07952199,0,0,0,0
417,-107.1136578,40.68013002,0,0,0,0
418,-106.1856069,41.28451097,0,0,0,0
419,-106.9912442,40.72145199,0,0,0,0
420,-106.6646104,41.21351864,0,0,0,0
421,-106.1740538,40.61723155,0,0,0,0
422,-107.267365,41.28669633,0,0,0,0
423,-107.027329,40.58985144,2019,180,0,0
424,-106.8208646,41.03228401,0,0,0,0
425,-106.6239134,40.98235253,2016,212,0,0
426,-106.1986924,40.56541531,0,0,0,0
427,-107.0839245,40.77192793,0,0,0,0
428,-106.1228753,41.23500157,2016,237,0,0
429,-106.8242137,41.47775046,0,0,0,0
430,-106.3657824,41.49768119,0,0,0,0
431,-106.6858153,40.73715747,0,0,0,0
432,-106.9480736,41.12733629,0,0,0,0
433,-106.8183943,41.15690949,0,0,0,0
434,-106.4429011,41.02553654,0,0,0,0
435,-106.178921,40.66553379,0,0,0,0
436,-106.2215097,41.14338596,0,0,0,0
437,-107.1973264,40.93368959,0,0,0,0
438,-107.2334632,41.43420663,0,0,0,0
